题目,错误率,正确率,总尝试次数,正确次数,错误次数
fold_1/Rectangle_031.png,0.7857142857142857,0.2142857142857143,28,6,22
fold_1/square_003.png,0.7857142857142857,0.2142857142857143,28,6,22
fold_2/House_037.png,0.7857142857142857,0.2142857142857143,28,6,22
fold_2/Rectangle_002.png,0.7857142857142857,0.2142857142857143,28,6,22
fold_2/Rectangle_003.png,0.7857142857142857,0.2142857142857143,28,6,22
fold_2/Rectangle_021.png,0.7857142857142857,0.2142857142857143,28,6,22
fold_1/Rectangle_008.png,0.7857142857142857,0.2142857142857143,28,6,22
fold_1/square_006.png,0.7857142857142857,0.2142857142857143,28,6,22
fold_2/House_021.png,0.7857142857142857,0.2142857142857143,28,6,22
fold_1/Rectangle_005.png,0.7857142857142857,0.2142857142857143,28,6,22
fold_2/circle_032.png,0.7857142857142857,0.2142857142857143,28,6,22
fold_1/Hexagon_008.png,0.7857142857142857,0.2142857142857143,28,6,22
fold_3/Rectangle_015.png,0.7857142857142857,0.2142857142857143,28,6,22
fold_3/Rectangle_019.png,0.7857142857142857,0.2142857142857143,28,6,22
fold_2/circle_008.png,0.7857142857142857,0.2142857142857143,28,6,22
fold_1/circle_030.png,0.7857142857142857,0.2142857142857143,28,6,22
fold_3/Rectangle_034.png,0.7857142857142857,0.2142857142857143,28,6,22
fold_1/circle_026.png,0.7857142857142857,0.2142857142857143,28,6,22
fold_3/Rectangle_036.png,0.7857142857142857,0.2142857142857143,28,6,22
fold_1/circle_020.png,0.7857142857142857,0.2142857142857143,28,6,22
fold_3/square_003.png,0.7857142857142857,0.2142857142857143,28,6,22
fold_3/square_007.png,0.7857142857142857,0.2142857142857143,28,6,22
fold_3/square_011.png,0.7857142857142857,0.2142857142857143,28,6,22
fold_1/circle_016.png,0.7857142857142857,0.2142857142857143,28,6,22
fold_3/square_016.png,0.7857142857142857,0.2142857142857143,28,6,22
fold_3/square_018.png,0.7857142857142857,0.2142857142857143,28,6,22
fold_2/circle_020.png,0.7857142857142857,0.2142857142857143,28,6,22
fold_1/circle_010.png,0.7857142857142857,0.2142857142857143,28,6,22
fold_1/circle_008.png,0.7857142857142857,0.2142857142857143,28,6,22
fold_2/circle_018.png,0.7857142857142857,0.2142857142857143,28,6,22
fold_3/square_039.png,0.7857142857142857,0.2142857142857143,28,6,22
